X,Y,_id,timestamp,media_id,location_i,lat,lng,likes_coun,comments_c,comments_d,imageURL,date_time,weekday,day_of_mon,hour,minute,tags_str,foodporn,foodporn,comment_1,food_ltl_1
352056.3295,586138.8838,ObjectId(56cf7f848f9cc01d24c440c3),1455850996,1188086726733186436_224079720,2260840,41.94459031,-87.70554888,15,4,"[{""created_time"":""1455851170"",""text"":""Congratulations! Excited for your new adventure!"",""from"":{""username"":""michie_baby"",""profile_picture"":""https://scontent.cdninstagram.com/t51.2885-19/10725187_870748386299331_1802024317_a.jpg"",""id"":""873626788"",""full_na",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12729625_1804165246477412_1345662648_n.jpg?ig_cache_key=MTE4ODA4NjcyNjczMzE4NjQzNg%3D%3D.2,2/18/16 22:03,3,18,22,3,"""irish, foodie, chicago, food, foodporn, feast, datenight, guinness, foodslut, imissengland, meatloaf, powers""",1,1,,"""meal, food, dish, tavern, dinner, brunch, restaurant, breakfast, ingredient, vegetable"""
359132.0857,580573.6259,ObjectId(56cf8189b7316e0001714d1a),1455641416,1186328641294426172_44163703,1004896554,41.8939896,-87.6207809,50,2,"[{""created_time"":""1455641523"",""text"":""#pastry #chef #creation #matcha #greentea #dessert #sweets #nomnom #latergram #food #foodie #foodies #foodpics #foodporn #foodstagram #foodinchicagoIG #foodphotography #igers #igerschi #igerschicago #instapic #instae",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12725142_1687653778157443_423457704_n.jpg?ig_cache_key=MTE4NjMyODY0MTI5NDQyNjE3Mg%3D%3D.2,2/16/16 11:50,1,16,11,50,"""foodinchicagoig, instapic, foodie, kitchennomad, foodporn, food, dessert, foodphotography, creation, chef, sweets, igerschi, pastry, matcha, greentea, instagood, igerschicago, latergram, windycity, foodstagram, insta_chicago, instaeats, infatuationchi,",1,1,,"""dish, flower, food, meal, dessert"""
359132.0857,580573.6259,ObjectId(56cf8189b7316e0001714d1d),1455576276,1185782209097360276_44163703,1004896554,41.8939896,-87.6207809,39,1,"[{""created_time"":""1455576499"",""text"":""#Vday #ValentinesDay #food #foodie #foodies #foodpic #foodbeast #foodporn #foodstagram #foodinchicagoIG #foodphotography #igerschi #igers #igerschicago #instapic #instaeats #instafood #insta_chicago #infatuationchi #",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12747652_1680590598896072_798530598_n.jpg?ig_cache_key=MTE4NTc4MjIwOTA5NzM2MDI3Ng%3D%3D.2,2/15/16 17:44,0,15,17,44,"""foodbeast, foodinchicagoig, foodie, kitchennomad, foodporn, food, foodphotography, instapic, downtown, igerschi, igers, foodpic, igerschicago, windycity, foodstagram, vday, restaurant, valentinesday, insta_chicago, seafood, instaeats, infatuationchi, in",1,1,,"""dish, meal, food, italian food, breakfast, salmonids, scampi, brunch, poultry, cod"""
357862.4109,581062.6656,ObjectId(56cf81ef17acf00001326050),1455548379,1185548190420044138_363091537,596271,41.89848623,-87.63603172,10,0,[],https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12599260_228071077539711_1736501048_n.jpg?ig_cache_key=MTE4NTU0ODE5MDQyMDA0NDEzOA%3D%3D.2,2/15/16 9:59,0,15,9,59,"""chicagorestaurants, tastingmenu, foodporn, valentinesday, valentinesdinner, yum, latergram, surfandturf""",1,1,,"""dish, food, meal, flower, leaf, beef wellington, dinner, poultry, ingredient, vegetable"""
353821.9674,597717.3884,ObjectId(56cf826fd955730001965acb),1456017702,1189485156053906812_1488488164,797082,42.0487099,-87.683197,31,1,"[{""created_time"":""1456019835"",""text"":""_Ù÷ç where r u? and pour me a glass!"",""from"":{""username"":""brittanynicole2148"",""profile_picture"":""https://scontent.cdninstagram.com/t51.2885-19/11261309_1478632495781948_573297259_a.jpg"",""id"":""213357305"",""full_name"":""",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12716610_527734120740795_38212885_n.jpg?ig_cache_key=MTE4OTQ4NTE1NjA1MzkwNjgxMg%3D%3D.2.l,2/20/16 20:21,5,20,20,21,"""yumyum, foodporn, bat17, chitown, beerporn""",1,1,,"""dish, meal, food, brunch, breakfast, cook"""
356244.1329,585640.0517,ObjectId(56cf828bd955730001965b10),1455748734,1187228895697652085_179412257,4602282,41.93981221,-87.65509606,25,0,[],https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12747551_109188316138071_1256244693_n.jpg?ig_cache_key=MTE4NzIyODg5NTY5NzY1MjA4NQ%3D%3D.2,2/17/16 17:38,2,17,17,38,"""nom, nativefoods, plantbased, foodporn, thai, chicago, vegan""",1,1,,"""dish, food, meal, laksa, antipasto, italian food, spaghetti, vegetable, lunch"""
355857.935,589863.0743,ObjectId(56cf82c4b7316e0001714e7c),1456115435,1190305003097805759_1921890243,880252312,41.97785837,-87.65935233,69,4,"[{""created_time"":""1456115573"",""text"":""#chicagospots #chicagofoodie #chicagoeats #eats #foodie #foodgram #foodporn #forkyeah #windycitypigs #chifood #delicious #yummy #foodcoma #goodeats #instafood  #wcbc  #foodie #checkpleasepics #chicago #foodstagram  #",https://scontent.cdninstagram.com/t51.2885-15/e35/926302_1707224132848395_647997448_n.jpg?ig_cache_key=MTE5MDMwNTAwMzA5NzgwNTc1OQ%3D%3D.2,2/21/16 23:30,6,21,23,30,"""foodbeast, foodcoma, chicagoeats, foodie, f52grams, chicagospots, checkpleasepics, forkyeah, goodeats, chifood, foodgram, delicious, vietnamese, instachicago, banhmi, foodstagram, windycitypigs, yummy, chicago, foodporn, eats, chicagofoodie, instafood,",1,1,,"""food, dish, b\u00e1nh m\u00ec, sandwich, lunch, submarine sandwich, meal, pan bagnat, poultry, kebab"""
343654.4165,585589.6895,ObjectId(56cf82d0b7316e0001714e82),1456148788,1190584789896417083_719434242,902685,41.94015521,-87.8069097,16,1,"[{""created_time"":""1456150958"",""text"":""Super!"",""from"":{""username"":""girlsthatsmokehookah"",""profile_picture"":""https://scontent.cdninstagram.com/t51.2885-19/10948187_1510085159232781_460308518_a.jpg"",""id"":""781567370"",""full_name"":""Girls that Smoke Hookah""},""i",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12729408_1754110518140793_765984933_n.jpg?ig_cache_key=MTE5MDU4NDc4OTg5NjQxNzA4Mw%3D%3D.2,2/22/16 8:46,0,22,8,46,"""foodstagram, feellinggood, foodgasm, havefun, foodporn, hookahbar, foodlover, hummus, makesmehappy, lastnight, calamari""",1,1,,"""meal, dish, canap\u00e9, food, finger food, brunch, tavern, osechi, restaurant, dinner"""
358484.2462,580016.9343,ObjectId(56cf82dd17acf00001326145),1456103108,1190201594328114069_26900503,1016306579,41.889026,-87.628642,78,1,"[{""created_time"":""1456103180"",""text"":""#foodblogger #chicagofoodmag #chicagofoodie #chicagofoodauthority #fabfoodchicago #chicagofoodgirl #forkyeah #eaterchicago #hertastylife #eeeeats #infatuation #food #foodie #foodgasm #foodporn #eatingfortheinsta #eat",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12328201_1559402554351439_470510340_n.jpg?ig_cache_key=MTE5MDIwMTU5NDMyODExNDA2OQ%3D%3D.2,2/21/16 20:05,6,21,20,5,"""eatfamous, foodblogger, fabfoodchicago, foodgasm, foodporn, instayummy, 312, hertastylife, forkyeah, eaterchicago, infatuation, staycation, foodie, chicagofoodie, eeeeats, staycationwithmyfavgirls, chicagoblogger, eatingfortheinsta, lifestyleblogger, ch",1,1,,"""food, dish, meal, submarine sandwich, breakfast, beef wellington, cotechino modena, ingredient, omelette, orange"""
358484.2462,580016.9343,ObjectId(56cf82e017acf00001326173),1455662833,1186508303247593340_307607034,1016306579,41.889026,-87.628642,255,5,"[{""created_time"":""1455662847"",""text"":""#stk #fish #seabass #eeeeeats #foodporn #plated #chicago #stkchicago #branzino"",""from"":{""username"":""eatstk"",""profile_picture"":""https://scontent.cdninstagram.com/t51.2885-19/s150x150/12407401_1528551270777724_20849202",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12725184_938989539550003_642029899_n.jpg?ig_cache_key=MTE4NjUwODMwMzI0NzU5MzM0MA%3D%3D.2,2/16/16 17:47,1,16,17,47,"""eeeeeats, foodporn, fish, seabass, plated, stk, stkchicago, branzino, chicago""",1,1,,"""food, dish, roasting, ratatouille, fish, pork chop, meal, salmonids, vegetable, cod"""
